Agency Case Number,Report Date,Time of Crime,Occur Begin Day,Occur Begin Date,Occur Begin Time,Occur End Day,Occur End Date,Occur End Time,Crime Class,Incident Type,UCR,Long ID,Crime Attempt,Class Description,Last 30 Days,Neighborhood Association,Neighborhood,X,Y,ZIPCODE
APD*22108532,08/02/2022 12:00:00 AM,20,MON,08/01/2022 12:00:00 AM,20:00,TUE,08/02/2022 12:00:00 AM,7:30,PL,GRAND LARCENY 4  CREDIT CARD,6,1553004EF4,No,THEFT FROM MOTOR VEHICLE,FALSE,West Hill,POINT,-73.76484425,42.66669119,12206
APD*22115102,08/13/2022 12:00:00 AM,8,SAT,07/30/2022 12:00:00 AM,8:00,SAT,07/30/2022 12:00:00 AM,8:00,PL,AGG/HAR INTENT HARASS ANNOY/ COMM. ANNON,999,2403001AAM2,No,PERSON,FALSE,West End,POINT,-73.77810409,42.67496958,12206
APD*22114944,08/13/2022 12:00:00 AM,14,SAT,08/13/2022 12:00:00 AM,14:00,SAT,08/13/2022 12:00:00 AM,14:30,PL,ROB 2 CAUSES PHYSICAL INJURY,3,160102ACF2,No,,FALSE,The Dunes,POINT,-73.86321786,42.7057702,12203
APD*22115022,08/13/2022 12:00:00 AM,9,SAT,08/13/2022 12:00:00 AM,9:00,SAT,08/13/2022 12:00:00 AM,15:00,PL,CRIM MIS INTENT DAMAGE PROPRTY,19,1450001AM4,No,,FALSE,South End,POINT,-73.75926175,42.63927479,12202
APD*22115060,08/13/2022 12:00:00 AM,16,SAT,08/13/2022 12:00:00 AM,16:15,SAT,08/13/2022 12:00:00 AM,16:20,PL,ASLT W/INT CAUSES PHYS INJURY,24,1200001AM3,No,PERSON,FALSE,West Hill,POINT,-73.76484425,42.66669119,12206
APD*22115174,08/13/2022 12:00:00 AM,22,SAT,08/13/2022 12:00:00 AM,22:38,SAT,08/13/2022 12:00:00 AM,23:34,PL,CPW-2ND: LOADED FIREARM,11,2650303CF2,No,PERSON,FALSE,Delaware Area,POINT,-73.78088741,42.63990609,12209
APD*22076745,06/04/2022 12:00:00 AM,23,SAT,06/04/2022 12:00:00 AM,23:05,SAT,06/04/2022 12:00:00 AM,23:41,PL,MURDER  INTENTION,1,1252501AF2,No,PERSON,FALSE,West End,POINT,-73.77810409,42.67496958,12206
APD*22076518,06/04/2022 12:00:00 AM,13,SAT,06/04/2022 12:00:00 AM,13:37,SAT,06/04/2022 12:00:00 AM,13:45,PL,HARRASSMENT 2ND- PHY CONTACT,24,24026010V2,No,PERSON,FALSE,Ten Broeck Triangle Preservation League,POINT,-73.75119995,42.65693726,12210
APD*22076341,06/04/2022 12:00:00 AM,6,SAT,06/04/2022 12:00:00 AM,6:12,SAT,06/04/2022 12:00:00 AM,6:14,PL,CRIM TRESAPSS 3RD - ENCLSD PROP,33,140100ABM3,No,,FALSE,Beverwyck,POINT,-73.78222713,42.67006294,12206
APD*22076325,06/04/2022 12:00:00 AM,5,SAT,06/04/2022 12:00:00 AM,5:00,SAT,06/04/2022 12:00:00 AM,5:10,PL,MENACING-2ND - WEAPON,4,1201401AM2,No,DOMESTIC VIOLENCE RELATED,FALSE,Park South,POINT,-73.77321917,42.65419738,12208
APD*22036170,03/17/2022 12:00:00 AM,16,THU,03/17/2022 12:00:00 AM,16:33,THU,03/17/2022 12:00:00 AM,16:33,PL,CRIMINAL MISCHIEF 3RD:DAMAGE ANOTHER'S PROPERTY-AMOUNT> $250,19,1450502EF3,No,,FALSE,Center Square,POINT,-73.76329474,42.65410976,12210
APD*22036269,03/17/2022 12:00:00 AM,20,THU,03/17/2022 12:00:00 AM,20:19,THU,03/17/2022 12:00:00 AM,20:22,PL,CRIMINAL MISCHIEF 3RD: DAMAGE THE MOTOR VEHICLE OF ANOTHER,19,1450501EF3,No,,FALSE,South End,POINT,-73.75926175,42.63927479,12202
APD*22035940,03/17/2022 12:00:00 AM,18,WED,03/16/2022 12:00:00 AM,18:00,THU,03/17/2022 12:00:00 AM,6:30,PL,CRIM MIS INTENT DAMAGE PROPRTY,19,1450001AM4,No,,FALSE,West Hill,POINT,-73.76484425,42.66669119,12206
APD*22036045,03/17/2022 12:00:00 AM,11,THU,03/17/2022 12:00:00 AM,11:40,THU,03/17/2022 12:00:00 AM,11:40,PL,TRESPASS,33,14005000V0,No,PART 2 OFFENSE,FALSE,New Scotland / Woodlawn,POINT,-73.79535522,42.65720944,12208
APD*22042431,03/30/2022 12:00:00 AM,16,WED,03/30/2022 12:00:00 AM,16:16,WED,03/30/2022 12:00:00 AM,16:16,PL,ASLT W/INT CAUSE PH INJ W/WEAP,4,1200502DF2,No,,FALSE,No. Albany / Shaker Park,POINT,-73.7452875,42.67282699,12204
APD*22084306,06/18/2022 12:00:00 AM,12,SAT,06/18/2022 12:00:00 AM,12:00,SAT,06/18/2022 12:00:00 AM,12:30,PL,PETIT LARCENY,6,1552500AM0,No,THEFT FROM BUILDING,FALSE,New Scotland / Woodlawn,POINT,-73.79535522,42.65720944,12208
APD*22075383,06/02/2022 12:00:00 AM,15,THU,06/02/2022 12:00:00 AM,15:15,THU,06/02/2022 12:00:00 AM,15:19,PL,CRIMINAL POSSESSION OF A WEAPON-2ND DEGREE: LOADED FIREARM,11,265031BCF2,No,PERSON,FALSE,West Hill,POINT,-73.76484425,42.66669119,12206
APD*22076393,06/04/2022 12:00:00 AM,1,SAT,06/04/2022 12:00:00 AM,1:00,SAT,06/04/2022 12:00:00 AM,6:00,PL,GRAND LARCENY 3 VALUE GREATER THAN $3000,7,1553500DF3,No,MOTOR VEHICLE THEFT,FALSE,Pine Hills,POINT,-73.78661269,42.66269594,12208
APD*22076506,06/04/2022 12:00:00 AM,13,SAT,06/04/2022 12:00:00 AM,13:08,SAT,06/04/2022 12:00:00 AM,13:08,PL,PETIT LARCENY,6,1552500AM0,No,SHOPLIFTING,FALSE,The Dunes,POINT,-73.86321786,42.7057702,12203
APD*22076437,06/04/2022 12:00:00 AM,22,FRI,06/03/2022 12:00:00 AM,22:00,SAT,06/04/2022 12:00:00 AM,10:00,PL,PETIT LARCENY,6,1552500AM0,No,ALL OTHER LARCENIES,FALSE,Beverwyck,POINT,-73.78222713,42.67006294,12206
APD*22049371,04/13/2022 12:00:00 AM,6,WED,04/13/2022 12:00:00 AM,6:45,WED,04/13/2022 12:00:00 AM,6:45,PL,FORCIBLE TOUCHING,13,1305200AM0,No,PERSON,FALSE,West End,POINT,-73.77810409,42.67496958,12206
APD*22049294,04/13/2022 12:00:00 AM,10,WED,04/13/2022 12:00:00 AM,10:57,WED,04/13/2022 12:00:00 AM,10:57,PL,ASLT W/INT CAUSES PHYS INJURY,24,1200001AM3,No,PERSON DOM VIOLENCE,FALSE,West Hill,POINT,-73.76484425,42.66669119,12206
