Names,Website,Phone Number,Address,Review Count,Average Review Count,Latitude,Longtitude
"Holiday Inn Express & Suites Albany Airport - Wolf Road, an IHG Hotel",ihg.com,(518) 459-3600,"16 Wolf Rd, Albany, NY 12205",513,4.1,42.71058906,-73.82145132
Hilton Garden Inn Albany Medical Center,hilton.com,(518) 396-3500,"62 New Scotland Ave, Albany, NY 12208",868,4.3,42.65240793,-73.77642211
Hampton Inn & Suites Albany-Downtown,hilton.com,(518) 432-7000,"25 Chapel St, Albany, NY 12210",1303,4.1,42.65357971,-73.75160575
Hilton Garden Inn Albany/SUNY Area,hilton.com,(518) 453-1300,"1389 Washington Ave, Albany, NY 12206",820,4.1,42.68860791,-73.81580144
Hyatt Place Albany,hyatt.com,(518) 977-7778,"82 Montgomery St, Albany, NY 12207",17,5,42.65482245,-73.74739517
Renaissance Albany Hotel,marriott.com,(518) 992-2500,"144 State St, Albany, NY 12207",1108,4.5,42.6510298,-73.75535975
Hilton Albany,hilton.com,(518) 462-6611,"40 Lodge St, Albany, NY 12207",2463,3.5,42.65088506,-73.75316467
Homewood Suites by Hilton Albany,hilton.com,(518) 438-4300,"216 Wolf Rd, Albany, NY 12205",845,4.4,42.72566944,-73.79864595
Hilton Garden Inn Albany Medical Center,hilton.com,(518) 396-3500,"62 New Scotland Ave, Albany, NY 12208",868,4.3,42.65243165,-73.77634673
Fairfield Inn & Suites by Marriott Albany Downtown,marriott.com,(518) 434-7410,"74 State St, Albany, NY 12207",407,4.2,42.64935205,-73.75255909
Hampton Inn Albany-Western Ave/University Area,hilton.com,(518) 438-0001,"1442 Western Ave, Albany, NY 12203",819,4.4,42.67927971,-73.83605892
Tru by Hilton Albany Crossgates Mall,hilton.com,(518) 704-4010,"1651 Western Ave, Albany, NY 12203",593,4.1,42.68696658,-73.85239944
Ramada Plaza by Wyndham Albany,wyndhamhotels.com,(518) 438-8431,"3 Watervliet Ave Ext, Albany, NY 12206",1625,2.3,42.68136172,-73.78413585
"Holiday Inn Express & Suites Albany Airport - Wolf Road, an IHG Hotel",ihg.com,(518) 459-3600,"16 Wolf Rd, Albany, NY 12205",513,4.1,42.71058057,-73.82142994
Days Inn & Suites by Wyndham Albany,wyndhamhotels.com,(518) 869-5327,"1606 Central Ave, Albany, NY 12205",960,2.3,42.71781519,-73.83466117
Morgan State House Inn,statehouse.com,(518) 427-6063,"393 State St, Albany, NY 12210",135,4.5,42.65711365,-73.76558484
Courtyard by Marriott Albany Thruway,marriott.com,(518) 435-1600,"1455 Washington Ave, Albany, NY 12206",386,4.1,42.69048795,-73.82032578
Hilton Garden Inn Albany Airport,hilton.com,(518) 464-6666,"800 Albany Shaker Rd, Albany, NY 12211",984,3.9,42.74655955,-73.81877499
