Names,Website,Phone Number,Address,Review Count,Average Review Count,Type,Opens At,Latitude,Longitude
Jennyâ€™s Nail Salon,instagram.com,(518) 650-8457,"113b Central Ave, Albany, NY 12206",346,4.8,Nail salon,,42.66002065,-73.76678907
Colorful Nails & Laser,colorfulnailsalon.com,(518) 435-0303,"1190 Western Ave, Albany, NY 12203",81,4.3,Nail salon, Opens 10AM Mon,42.6770399,-73.82537757
U.S. Nails,,(518) 218-0792,"1813 Western Ave, Albany, NY 12203",132,4.6,Nail salon,,42.69118266,-73.86810736
LR Nail,,(518) 869-0512,"1800 Western Ave, Albany, NY 12203",280,4.3,Nail salon, Opens 9AM Mon,42.68974788,-73.86623492
Nail Top,m.facebook.com,(518) 426-3018,"334 Central Ave, Albany, NY 12206",241,4.2,Nail salon,,42.66578965,-73.77401577
MeTime Nail & Spa,,(518) 617-0044,"362 Northern Blvd, Albany, NY 12204",119,4.3,Nail salon, Opens 10AM Mon,42.67602077,-73.74894716
Nan Nail,nan-nail.business.site,(518) 435-0150,"1210 Central Ave, Albany, NY 12205",177,4.2,Nail salon,,42.69518648,-73.80763168
Melissa Nails,,(518) 465-1060,"608 Clinton Ave, Albany, NY 12206",258,4,Nail salon, Opens 10AM Mon,42.66667186,-73.77161571
Rainbow Nails,albanynailsalon.com,(518) 621-7988,"1170 Central Ave, Albany, NY 12205",245,3.9,Nail salon,,42.69269163,-73.80497417
Dl Nail Bar,dlnailbar.com,(518) 977-4052,"488 Albany Shaker Rd, Albany, NY 12211",70,4.4,Nail salon, Opens 9:30AM Mon,42.70697009,-73.77779838
Queen House Nail & Spa,queenhousenailspa.com,(518) 608-5741,"10 New Karner Rd Suite #4, Guilderland, NY 12084",114,4.4,Nail salon,,42.69924897,-73.88716781
At Deluxe Nails & Spa,,(518) 456-2925,"1770 Central Ave, Colonie, NY 12205",124,4.5,Nail salon, Opens 9:30AM Mon,42.72844236,-73.84665717
Young Life Spa - Nail Salon in Albany,,(518) 650-6680,"265 Osborne Rd Unit 3, Albany, NY 12211",50,4.6,Nail salon,,42.70740957,-73.77599973
Salon 109 Spa & Hair Design,salon109.info,(518) 463-7161,"109 State St, Albany, NY 12207",76,4.7,Beauty salon, Opens 10AM Mon,42.65124743,-73.75444181
Nail Art,facebook.com,(518) 438-0303,"241 Wolf Rd, Albany, NY 12205",102,3.9,Nail salon,,42.72698508,-73.79499093
Wonder Nails & Spa,keeq.io,(518) 862-0888,"1814 Central Ave, Albany, NY 12205",155,3.8,Nail salon, Opens 10AM Mon,42.7299693,-73.84766089
Deluxeâ€?Nail And Spa,,(518) 459-4908,"131 Colonie Center, Albany, NY 12205",299,4,Nail salon,,42.71082151,-73.81647329
Lee Nails,,(518) 482-7438,"1425 Central Ave, Albany, NY 12205",61,3.9,Nail salon, Opens 10AM Mon,42.71042263,-73.81654229
New Envy Nails & Spa,,(518) 608-6027,"501 New Karner Rd, Albany, NY 12205",50,3.9,Nail salon,,42.74258507,-73.83849026
Passion Nail Spa & Lashes,passionnailsandbrowalbany.com,(518) 445-8000,"351 Southern Blvd, Albany, NY 12209",79,3.9,Beauty salon, Opens 9:30AM Mon,42.63140433,-73.77549422
Scissors III & Co Hair & Nail,scissors3.com,(518) 869-1391,"1540 Central Ave # 1, Albany, NY 12205",31,4.8,Beauty salon,,42.7144197,-73.82948076
Jean Paul Spa and Salons,jeanpaulspa.com,(518) 482-2121,"1475 Western Ave, Albany, NY 12203",296,4.6,Hair salon, Opens 10AM Mon,42.68465548,-73.83919241
City Nail & Spa,beautyspa888.wixsite.com,(518) 435-1115,"98 Wolf Rd, Albany, NY 12205",115,3.7,Nail salon,,42.71716071,-73.81098665
Exclusive Nail Salon,,(518) 489-8058,"133 Wolf Rd Unit 4, Albany, NY 12205",64,3.7,Nail salon, Opens 10AM Mon,42.71882664,-73.80556055
Pure Elements an Organic Salon,pure-elements-salon.com,(518) 608-5405,"1728 Western Ave, Albany, NY 12203",61,4.7,Hair salon,,42.68839756,-73.86080941
